"trial_number","layer_from","node_from","layer_to","node_to"
843,1,258,"2",258
843,1,216,"11",216
843,1,216,"12",216
843,1,216,"2",216
843,1,216,"3",216
843,1,216,"4",216
843,1,216,"8",216
843,1,113,"2",113
843,1,225,"3",225
843,1,225,"4",225
843,1,284,"10",284
843,1,284,"12",284
843,1,284,"2",284
843,1,284,"3",284
843,1,284,"4",284
843,1,284,"6",284
843,1,284,"7",284
843,1,284,"8",284
843,1,54,"2",54
843,1,170,"12",170
843,1,170,"13",170
843,1,170,"14",170
843,1,170,"2",170
843,1,170,"3",170
843,1,170,"4",170
843,1,170,"5",170
843,1,170,"6",170
843,1,170,"7",170
843,1,170,"8",170
843,1,262,"2",262
843,1,99,"4",99
843,1,45,"2",45
843,1,194,"2",194
843,1,242,"10",242
843,1,242,"14",242
843,1,242,"2",242
843,1,242,"3",242
843,1,242,"4",242
843,1,242,"9",242
843,1,104,"9",104
843,1,72,"2",72
843,1,86,"2",86
843,1,160,"2",160
843,1,187,"10",187
843,1,187,"11",187
843,1,187,"12",187
843,1,187,"2",187
843,1,187,"5",187
843,1,187,"6",187
843,1,187,"7",187
843,1,187,"8",187
843,1,187,"9",187
843,1,189,"2",189
843,1,230,"2",230
843,1,232,"2",232
843,1,273,"2",273
843,1,49,"2",49
843,10,126,"11",126
843,10,126,"13",126
843,10,126,"14",126
843,10,126,"9",126
843,10,137,"8",137
843,10,165,"11",165
843,10,165,"12",165
843,10,165,"13",165
843,10,165,"14",165
843,10,165,"5",165
843,10,165,"6",165
843,10,165,"7",165
843,10,165,"8",165
843,10,165,"9",165
843,10,190,"13",190
843,10,190,"14",190
843,10,241,"7",241
843,10,241,"8",241
843,10,254,"14",254
843,10,254,"8",254
843,10,254,"9",254
843,10,274,"11",274
843,10,274,"12",274
843,10,274,"13",274
843,10,274,"14",274
843,10,274,"3",274
843,10,274,"4",274
843,10,274,"5",274
843,10,274,"6",274
843,10,274,"7",274
843,10,274,"8",274
843,10,274,"9",274
843,10,275,"11",275
843,10,275,"12",275
843,10,275,"13",275
843,10,275,"14",275
843,10,275,"3",275
843,10,275,"4",275
843,10,275,"5",275
843,10,275,"6",275
843,10,275,"7",275
843,10,275,"8",275
843,10,275,"9",275
843,10,278,"9",278
843,10,60,"11",60
843,10,60,"12",60
843,10,60,"5",60
843,10,60,"6",60
843,10,60,"7",60
843,10,60,"8",60
843,10,60,"9",60
843,10,92,"11",92
843,10,92,"12",92
843,10,92,"13",92
843,10,92,"14",92
843,10,92,"3",92
843,10,92,"5",92
843,10,92,"6",92
843,10,92,"7",92
843,10,92,"8",92
843,10,92,"9",92
843,10,138,"11",138
843,10,138,"12",138
843,10,138,"13",138
843,10,138,"14",138
843,10,138,"9",138
843,10,139,"13",139
843,10,139,"5",139
843,10,163,"11",163
843,10,163,"12",163
843,10,163,"13",163
843,10,163,"14",163
843,10,163,"3",163
843,10,163,"5",163
843,10,163,"6",163
843,10,163,"8",163
843,10,163,"9",163
843,10,101,"12",101
843,10,101,"2",101
843,10,101,"3",101
843,10,101,"4",101
843,10,101,"8",101
843,10,284,"1",284
843,10,284,"12",284
843,10,284,"2",284
843,10,284,"3",284
843,10,284,"4",284
843,10,284,"6",284
843,10,284,"7",284
843,10,284,"8",284
843,10,166,"9",166
843,10,44,"12",44
843,10,44,"5",44
843,10,44,"6",44
843,10,44,"7",44
843,10,55,"12",55
843,10,55,"13",55
843,10,55,"14",55
843,10,55,"3",55
843,10,55,"4",55
843,10,55,"5",55
843,10,55,"6",55
843,10,55,"7",55
843,10,55,"8",55
843,10,55,"9",55
843,10,56,"12",56
843,10,56,"5",56
843,10,56,"7",56
843,10,266,"7",266
843,10,266,"8",266
843,10,109,"8",109
843,10,181,"9",181
843,10,211,"14",211
843,10,211,"6",211
843,10,211,"9",211
843,10,50,"3",50
843,10,50,"4",50
843,10,50,"5",50
843,10,50,"6",50
843,10,50,"7",50
843,10,50,"8",50
843,10,50,"9",50
843,10,112,"6",112
843,10,141,"11",141
843,10,141,"12",141
843,10,141,"13",141
843,10,141,"14",141
843,10,141,"9",141
843,10,187,"1",187
843,10,187,"11",187
843,10,187,"12",187
843,10,187,"2",187
843,10,187,"5",187
843,10,187,"6",187
843,10,187,"7",187
843,10,187,"8",187
843,10,187,"9",187
843,10,193,"14",193
843,10,242,"1",242
843,10,242,"14",242
843,10,242,"2",242
843,10,242,"3",242
843,10,242,"4",242
843,10,242,"9",242
843,10,140,"14",140
843,10,140,"8",140
843,10,276,"5",276
843,10,276,"6",276
843,10,276,"8",276
843,10,175,"9",175
843,11,111,"14",111
843,11,111,"4",111
843,11,111,"5",111
843,11,111,"6",111
843,11,111,"7",111
843,11,111,"8",111
843,11,165,"10",165
843,11,165,"12",165
843,11,165,"13",165
843,11,165,"14",165
843,11,165,"5",165
843,11,165,"6",165
843,11,165,"7",165
843,11,165,"8",165
