"","layer_from","node_from","layer_to","node_to","weight"
"1",6,8,2,8,0.0952380952380953
"2",3,8,2,8,0.0869565217391304
"3",4,8,2,8,0.0625
"4",1,8,2,8,0.0526315789473684
"5",3,8,6,8,0.0833333333333334
"6",7,8,6,8,0.105263157894737
"7",4,8,6,8,0.0588235294117647
"8",5,8,6,8,0.1
"9",1,8,6,8,0.0499999999999999
"10",7,8,3,8,0.0952380952380953
"11",4,8,3,8,0.25
"12",5,8,3,8,0.0434782608695652
"13",1,8,3,8,0.0454545454545455
"14",4,8,7,8,0.0714285714285714
"15",5,8,7,8,0.117647058823529
"16",5,8,4,8,0.142857142857143
"17",6,9,2,9,0.0555555555555556
"18",3,9,2,9,0.108108108108108
"19",7,9,2,9,0.027027027027027
"20",4,9,2,9,0.0555555555555556
"21",5,9,2,9,0.0697674418604651
"22",1,9,2,9,0.0625
"23",3,9,6,9,0.148148148148148
"24",7,9,6,9,0.272727272727273
"25",4,9,6,9,0.12
"26",5,9,6,9,0.161290322580645
"27",1,9,6,9,0.025
"28",7,9,3,9,0.148148148148148
"29",4,9,3,9,0.148148148148148
"30",5,9,3,9,0.114285714285714
"31",1,9,3,9,0.0232558139534883
"32",4,9,7,9,0.12
"33",5,9,7,9,0.2
"34",5,9,4,9,0.241379310344828
"35",1,9,5,9,0.0208333333333334
"36",4,14,2,14,0.111111111111111
"37",6,17,2,17,0.121951219512195
"38",3,17,2,17,0.0731707317073171
"39",4,17,2,17,0.0697674418604651
"40",5,17,2,17,0.0303030303030303
"41",1,17,2,17,0.0930232558139535
"42",3,17,6,17,0.25
"43",4,17,6,17,0.142857142857143
"44",5,17,6,17,0.111111111111111
"45",1,17,6,17,0.03125
"46",4,17,3,17,0.304347826086956
"47",5,17,3,17,0.0588235294117647
"48",1,17,3,17,0.0333333333333334
"49",5,17,4,17,0.0526315789473684
"50",1,17,4,17,0.03125
"51",1,17,5,17,0.0499999999999999
"52",3,26,2,26,0.105263157894737
"53",4,26,2,26,0.166666666666667
"54",5,26,2,26,0.117647058823529
"55",3,26,6,26,0.272727272727273
"56",5,26,6,26,0.2
"57",4,26,3,26,0.181818181818182
"58",5,26,3,26,0.384615384615385
"59",5,26,4,26,0.375
