"trial_number","layer_from","node_from","layer_to","node_to"
391,1,258,"2",258
391,1,216,"11",216
391,1,216,"12",216
391,1,216,"2",216
391,1,216,"3",216
391,1,216,"4",216
391,1,216,"8",216
391,1,113,"2",113
391,1,225,"3",225
391,1,225,"4",225
391,1,284,"10",284
391,1,284,"12",284
391,1,284,"2",284
391,1,284,"3",284
391,1,284,"4",284
391,1,284,"6",284
391,1,284,"7",284
391,1,284,"8",284
391,1,54,"2",54
391,1,170,"12",170
391,1,170,"13",170
391,1,170,"14",170
391,1,170,"2",170
391,1,170,"3",170
391,1,170,"4",170
391,1,170,"5",170
391,1,170,"6",170
391,1,170,"7",170
391,1,170,"8",170
391,1,262,"2",262
391,1,99,"4",99
391,1,45,"2",45
391,1,194,"2",194
391,1,242,"10",242
391,1,242,"14",242
391,1,242,"2",242
391,1,242,"3",242
391,1,242,"4",242
391,1,242,"9",242
391,1,104,"9",104
391,1,72,"2",72
391,1,82,"2",82
391,1,86,"2",86
391,1,189,"2",189
391,1,244,"2",244
391,1,160,"2",160
391,1,187,"10",187
391,1,187,"11",187
391,1,187,"12",187
391,1,187,"2",187
391,1,187,"5",187
391,1,187,"6",187
391,1,187,"7",187
391,1,187,"8",187
391,1,187,"9",187
391,1,230,"2",230
391,1,232,"2",232
391,1,273,"2",273
391,1,49,"2",49
391,10,126,"11",126
391,10,126,"13",126
391,10,126,"14",126
391,10,126,"9",126
391,10,137,"8",137
391,10,165,"11",165
391,10,165,"12",165
391,10,165,"13",165
391,10,165,"14",165
391,10,165,"5",165
391,10,165,"6",165
391,10,165,"7",165
391,10,165,"8",165
391,10,165,"9",165
391,10,190,"13",190
391,10,190,"14",190
391,10,241,"7",241
391,10,241,"8",241
391,10,254,"14",254
391,10,254,"8",254
391,10,254,"9",254
391,10,274,"11",274
391,10,274,"12",274
391,10,274,"13",274
391,10,274,"14",274
391,10,274,"3",274
391,10,274,"4",274
391,10,274,"5",274
391,10,274,"6",274
391,10,274,"7",274
391,10,274,"8",274
391,10,274,"9",274
391,10,275,"11",275
391,10,275,"12",275
391,10,275,"13",275
391,10,275,"14",275
391,10,275,"3",275
391,10,275,"4",275
391,10,275,"5",275
391,10,275,"6",275
391,10,275,"7",275
391,10,275,"8",275
391,10,275,"9",275
391,10,278,"9",278
391,10,60,"11",60
391,10,60,"12",60
391,10,60,"5",60
391,10,60,"6",60
391,10,60,"7",60
