"trial_number","layer_from","node_from","layer_to","node_to"
96,1,136,"5",136
96,1,136,"7",136
96,1,199,"7",199
96,1,243,"2",243
96,1,243,"4",243
96,1,284,"2",284
96,1,284,"3",284
96,1,284,"4",284
96,1,284,"5",284
96,1,284,"6",284
96,1,141,"5",141
96,1,141,"7",141
96,1,163,"2",163
96,1,163,"3",163
96,1,163,"5",163
96,1,163,"6",163
96,1,163,"7",163
96,1,137,"5",137
96,1,235,"2",235
96,1,235,"3",235
96,1,235,"4",235
96,1,242,"2",242
96,1,242,"3",242
96,1,242,"5",242
96,1,84,"4",84
96,1,84,"5",84
96,1,254,"3",254
96,1,254,"4",254
96,1,216,"3",216
96,1,216,"5",216
96,1,216,"6",216
96,1,197,"7",197
96,1,275,"2",275
96,1,275,"3",275
96,1,275,"4",275
96,1,275,"6",275
96,1,275,"7",275
96,1,217,"5",217
96,1,217,"7",217
96,1,238,"2",238
96,1,218,"2",218
96,1,96,"7",96
96,1,274,"2",274
96,1,274,"3",274
96,1,274,"4",274
96,1,274,"6",274
96,1,274,"7",274
96,1,138,"3",138
96,1,138,"4",138
96,1,111,"2",111
96,1,111,"3",111
96,1,111,"4",111
96,1,111,"5",111
96,1,188,"6",188
96,1,276,"4",276
96,1,276,"5",276
96,1,130,"2",130
96,1,92,"2",92
96,1,92,"3",92
96,1,92,"4",92
96,1,92,"6",92
96,1,92,"7",92
96,1,270,"2",270
96,1,270,"5",270
96,1,270,"7",270
96,1,227,"4",227
96,1,55,"2",55
96,1,55,"3",55
96,1,55,"4",55
96,1,55,"6",55
96,1,55,"7",55
96,1,99,"4",99
96,2,73,"5",73
96,2,106,"4",106
96,2,163,"1",163
96,2,163,"3",163
96,2,163,"5",163
96,2,163,"6",163
96,2,163,"7",163
96,2,170,"3",170
96,2,170,"4",170
96,2,170,"5",170
96,2,170,"6",170
96,2,170,"7",170
96,2,126,"4",126
96,2,126,"7",126
96,2,133,"3",133
96,2,239,"4",239
96,2,239,"5",239
96,2,101,"3",101
96,2,101,"4",101
96,2,101,"5",101
96,2,101,"6",101
96,2,101,"7",101
96,2,98,"3",98
96,2,98,"5",98
96,2,206,"4",206
96,2,139,"3",139
96,2,139,"4",139
96,2,111,"1",111
96,2,111,"3",111
96,2,111,"4",111
96,2,111,"5",111
96,2,87,"7",87
96,2,242,"1",242
96,2,242,"3",242
96,2,242,"5",242
96,2,284,"1",284
96,2,284,"3",284
96,2,284,"4",284
96,2,284,"5",284
96,2,284,"6",284
96,2,55,"1",55
96,2,55,"3",55
96,2,55,"4",55
96,2,55,"6",55
96,2,55,"7",55
96,2,211,"4",211
96,2,211,"5",211
96,2,218,"1",218
96,2,95,"3",95
96,2,275,"1",275
96,2,275,"3",275
96,2,275,"4",275
96,2,275,"6",275
96,2,275,"7",275
96,2,167,"6",167
96,2,44,"5",44
96,2,44,"6",44
